Id,Loc,Ref,DeliveryDate,Quantity,Received,NetAmount,Supplier,PONumber,Date,Currency
15343952/Los Angeles,Los Angeles,15343952,1/1/2001,120,0,2743.200072,Logipro,PO-EE-BO-Atlanta,30-10-15,GBP
15343952/Los Angeles,Los Angeles,15343952,4/10/2016,40,0,914.400024,Logipro,PO-200244,26-07-16,GBP
14693335/Los Angeles,Los Angeles,14693335,4/10/2016,32,0,1126.719971,Drecom,PO-200244,26-07-16,USD
11711636/Los Angeles,Los Angeles,11711636,1/1/2001,40,0,996.399992,RRD,PO-EE-BO-Atlanta,30-10-15,USD
11711636/Los Angeles,Los Angeles,11711636,21-06-16,16,16,398.5599968,RRD,PO-200069,25-11-15,USD
11711636/Los Angeles,Los Angeles,11711636,1/1/2001,20,0,498.199996,RRD,PO-200267,18-08-16,USD
11941800/Los Angeles,Los Angeles,11941800,1/1/2001,40,0,996.399992,Drecom,PO-EE-BO-Atlanta,30-10-15,GBP
11941800/Los Angeles,Los Angeles,11941800,21-06-16,16,16,398.5599968,Drecom,PO-200069,25-11-15,GBP
11941800/Los Angeles,Los Angeles,11941800,1/1/2001,20,0,498.199996,Drecom,PO-200267,18-08-16,GBP
11711100/Los Angeles,Los Angeles,11711100,1/1/2001,24,0,335.2800072,Office First,PO-200277,31-08-16,USD
10595489/Los Angeles,Los Angeles,10595489,5/8/2015,18,18,681.1200036,SuperSupply,102196,27-05-15,EUR
10595489/Los Angeles,Los Angeles,10595489,21-06-16,12,12,454.0800024,SuperSupply,PO-200069,25-11-15,EUR
10595489/Los Angeles,Los Angeles,10595489,12/9/2016,20,0,756.800004,SuperSupply,PO-200236,13-07-16,EUR
10678449/Los Angeles,Los Angeles,10678449,4/10/2016,20,0,661.200028,SuperSupply,PO-200244,26-07-16,USD
10099950/Los Angeles,Los Angeles,10099950,12/9/2016,20,0,661.200028,Logipro,PO-200236,13-07-16,USD
16401974/Los Angeles,Los Angeles,16401974,21-06-16,10,10,389.900017,Office First,PO-200069,25-11-15,GBP
11914966/Los Angeles,Los Angeles,11914966,5/8/2015,20,20,570.200004,Office First,102196,27-05-15,USD
11914966/Los Angeles,Los Angeles,11914966,1/1/2001,20,0,570.200004,Office First,PO-EE-BO-Atlanta,30-10-15,USD
11914966/Los Angeles,Los Angeles,11914966,21-06-16,20,20,570.200004,Office First,PO-200069,25-11-15,USD
11914966/Los Angeles,Los Angeles,11914966,12/9/2016,20,0,570.200004,Office First,PO-200236,13-07-16,USD
14895172/Los Angeles,Los Angeles,14895172,21-06-16,16,16,465.6000064,Logipro,PO-200069,25-11-15,GBP
15416092/Los Angeles,Los Angeles,15416092,1/1/2001,24,0,531.5999904,RRD,PO-200267,18-08-16,EUR
12409642/Los Angeles,Los Angeles,12409642,4/10/2016,24,0,1129.440034,Office First,PO-200244,26-07-16,GBP
12409642/Los Angeles,Los Angeles,12409642,1/1/2001,4,0,188.2400056,Office First,PO-200257,4/8/2016,GBP
12409642/Los Angeles,Los Angeles,12409642,1/1/2001,40,0,1882.400056,Office First,PO-200277,31-08-16,GBP
11906239/Los Angeles,Los Angeles,11906239,5/8/2015,35,35,1096.549997,Drecom,102196,27-05-15,GBP
11906239/Los Angeles,Los Angeles,11906239,14-06-16,100,100,3132.99999,Drecom,PO-200099,7/1/2016,GBP
11906239/Los Angeles,Los Angeles,11906239,1/1/2001,30,0,939.899997,Drecom,PO-200292,4/10/2016,GBP
11929369/Los Angeles,Los Angeles,11929369,1/1/2001,2,0,17.70000076,Logipro,PO-200271,24-08-16,GBP
14262733/Los Angeles,Los Angeles,14262733,1/1/2001,28,0,605.9199832,Drecom,PO-EE-BO-Atlanta,30-10-15,GBP
14262733/Los Angeles,Los Angeles,14262733,21-06-16,20,20,432.799988,Drecom,PO-200069,25-11-15,GBP
12918171/Los Angeles,Los Angeles,12918171,1/1/2001,2,0,9.6800003,Drecom,PO-200257,4/8/2016,EUR
15410849/Los Angeles,Los Angeles,15410849,5/8/2015,16,16,938.2399904,RRD,102196,27-05-15,USD
15410849/Los Angeles,Los Angeles,15410849,14-06-16,20,20,1172.799988,RRD,PO-200099,7/1/2016,USD
15410849/Los Angeles,Los Angeles,15410849,12/9/2016,40,0,2345.599976,RRD,PO-200236,13-07-16,USD
15410849/Los Angeles,Los Angeles,15410849,1/1/2001,22,0,1290.079987,RRD,PO-200292,4/10/2016,USD
13498766/Los Angeles,Los Angeles,13498766,5/8/2015,36,36,666,Logipro,102196,27-05-15,EUR
13498766/Los Angeles,Los Angeles,13498766,21-06-16,30,30,555,Logipro,PO-200069,25-11-15,EUR
13498766/Los Angeles,Los Angeles,13498766,20-06-16,60,60,1110,Logipro,PO-200081,10/12/2015,EUR
13498766/Los Angeles,Los Angeles,13498766,12/9/2016,30,0,555,Logipro,PO-200236,13-07-16,EUR
13498766/Los Angeles,Los Angeles,13498766,1/1/2001,30,0,555,Logipro,PO-200292,4/10/2016,EUR
10592438/Los Angeles,Los Angeles,10592438,29-07-16,36,36,123.8400022,Logipro,PO-200243,26-07-16,EUR
16089695/Los Angeles,Los Angeles,16089695,29-07-16,34,34,116.960002,Logipro,PO-200243,26-07-16,GBP
15880950/Los Angeles,Los Angeles,15880950,12/9/2016,40,0,1078.000032,RRD,PO-200236,13-07-16,EUR
15880950/Los Angeles,Los Angeles,15880950,1/1/2001,24,0,646.8000192,RRD,PO-200292,4/10/2016,EUR
14548487/Los Angeles,Los Angeles,14548487,14-06-16,20,20,539.000016,Drecom,PO-200099,7/1/2016,EUR
14548487/Los Angeles,Los Angeles,14548487,12/9/2016,20,0,539.000016,Drecom,PO-200236,13-07-16,EUR
14548487/Los Angeles,Los Angeles,14548487,1/1/2001,32,0,862.4000256,Drecom,PO-200292,4/10/2016,EUR
12753764/Los Angeles,Los Angeles,12753764,20-06-16,60,60,688.79997,FHL,PO-200081,10/12/2015,USD
12753764/Los Angeles,Los Angeles,12753764,14-06-16,60,60,688.79997,FHL,PO-200099,7/1/2016,USD
13856231/Los Angeles,Los Angeles,13856231,1/1/2001,30,0,1327.200051,SuperSupply,PO-200267,18-08-16,GBP
12569093/Los Angeles,Los Angeles,12569093,4/10/2016,40,0,895.199968,Office First,PO-200244,26-07-16,GBP
12561507/Los Angeles,Los Angeles,12561507,5/8/2015,20,20,586.800004,FHL,102196,27-05-15,GBP
12561507/Los Angeles,Los Angeles,12561507,21-06-16,40,40,1173.600008,FHL,PO-200069,25-11-15,GBP
12561507/Los Angeles,Los Angeles,12561507,20-06-16,60,60,1760.400012,FHL,PO-200081,10/12/2015,GBP
12561507/Los Angeles,Los Angeles,12561507,14-06-16,40,40,1173.600008,FHL,PO-200099,7/1/2016,GBP
12561507/Los Angeles,Los Angeles,12561507,12/9/2016,4,0,117.3600008,FHL,PO-200236,13-07-16,GBP
12561507/Los Angeles,Los Angeles,12561507,4/10/2016,36,0,1056.240007,FHL,PO-200244,26-07-16,GBP
12572098/Los Angeles,Los Angeles,12572098,14-06-16,16,16,633.9199824,Logipro,PO-200099,7/1/2016,GBP
13532626/Los Angeles,Los Angeles,13532626,1/1/2001,50,0,2982.500075,SuperSupply,PO-200225,8/6/2016,GBP
14343336/Los Angeles,Los Angeles,14343336,1/1/2001,100,0,4940.00015,Drecom,PO-200225,8/6/2016,EUR
10764226/Los Angeles,Los Angeles,10764226,14-06-16,12,12,208.4400096,SuperSupply,PO-200099,7/1/2016,USD
14367353/Los Angeles,Los Angeles,14367353,5/8/2015,35,35,1477.000028,Drecom,102196,27-05-15,GBP
10014552/Los Angeles,Los Angeles,10014552,1/1/2001,3,0,22.10999967,FHL,PO-200271,24-08-16,GBP
11557472/Los Angeles,Los Angeles,11557472,22-03-16,235,235,5733.999906,SuperSupply,PO-200077,4/12/2015,GBP
13594853/Los Angeles,Los Angeles,13594853,22-03-16,235,234,5733.999906,Drecom,PO-200077,4/12/2015,USD
13336372/Los Angeles,Los Angeles,13336372,1/1/2001,4,0,122.239998,Office First,PO-200257,4/8/2016,EUR
15808622/Los Angeles,Los Angeles,15808622,4/10/2016,24,0,1026.960022,Drecom,PO-200244,26-07-16,GBP
15808622/Los Angeles,Los Angeles,15808622,1/1/2001,20,0,855.800018,Drecom,PO-200277,31-08-16,GBP
15034737/Los Angeles,Los Angeles,15034737,4/10/2016,24,0,1196.399964,Logipro,PO-200244,26-07-16,EUR
13452029/Los Angeles,Los Angeles,13452029,4/10/2016,24,0,1196.399964,RRD,PO-200244,26-07-16,USD
16595101/Los Angeles,Los Angeles,16595101,12/9/2016,20,0,392.599984,FHL,PO-200236,13-07-16,EUR
16595101/Los Angeles,Los Angeles,16595101,1/1/2001,24,0,471.1199808,FHL,PO-200292,4/10/2016,EUR
16412231/Los Angeles,Los Angeles,16412231,13-09-16,150,0,3492.000105,Office First,PO-200219,7/6/2016,GBP
11800905/Los Angeles,Los Angeles,11800905,29-07-16,6,6,107.2799952,Office First,PO-200243,26-07-16,USD
14289423/Los Angeles,Los Angeles,14289423,12/9/2016,6,0,349.5,Drecom,PO-200236,13-07-16,EUR
12572752/Los Angeles,Los Angeles,12572752,20-06-16,40,40,2116.399992,FHL,PO-200081,10/12/2015,EUR
12572752/Los Angeles,Los Angeles,12572752,1/1/2001,1,0,52.9099998,FHL,PO-200271,24-08-16,EUR
12572752/Los Angeles,Los Angeles,12572752,1/1/2001,20,0,1058.199996,FHL,PO-200292,4/10/2016,EUR
15519926/Los Angeles,Los Angeles,15519926,20-06-16,40,40,2116.399992,Logipro,PO-200081,10/12/2015,USD
15519926/Los Angeles,Los Angeles,15519926,1/1/2001,20,0,1058.199996,Logipro,PO-200292,4/10/2016,USD
11097836/Los Angeles,Los Angeles,11097836,20-06-16,20,20,499.199982,SuperSupply,PO-200081,10/12/2015,GBP
11097836/Los Angeles,Los Angeles,11097836,1/1/2001,32,0,798.7199712,SuperSupply,PO-200292,4/10/2016,GBP
15092233/Los Angeles,Los Angeles,15092233,20-06-16,20,20,499.199982,Drecom,PO-200081,10/12/2015,EUR
15092233/Los Angeles,Los Angeles,15092233,1/1/2001,32,0,798.7199712,Drecom,PO-200292,4/10/2016,EUR
14789055/Los Angeles,Los Angeles,14789055,5/8/2015,40,40,920,FHL,102196,27-05-15,GBP
14789055/Los Angeles,Los Angeles,14789055,21-06-16,40,40,920,FHL,PO-200069,25-11-15,GBP
14789055/Los Angeles,Los Angeles,14789055,20-06-16,40,40,920,FHL,PO-200081,10/12/2015,GBP
14789055/Los Angeles,Los Angeles,14789055,12/9/2016,50,0,1150,FHL,PO-200236,13-07-16,GBP
14789055/Los Angeles,Los Angeles,14789055,4/10/2016,20,0,460,FHL,PO-200244,26-07-16,GBP
14789055/Los Angeles,Los Angeles,14789055,1/1/2001,40,0,920,FHL,PO-200277,31-08-16,GBP
13474623/Los Angeles,Los Angeles,13474623,22-03-16,150,150,9602.99949,Drecom,PO-200077,4/12/2015,GBP
13474623/Los Angeles,Los Angeles,13474623,13-09-16,200,0,12803.99932,Drecom,PO-200219,7/6/2016,GBP
12564089/Los Angeles,Los Angeles,12564089,4/10/2016,12,0,369,FHL,PO-200244,26-07-16,EUR
13107618/Los Angeles,Los Angeles,13107618,20-06-16,14,14,688.3799748,Logipro,PO-200081,10/12/2015,GBP
16430058/Los Angeles,Los Angeles,16430058,22-06-16,200,200,571.99998,Office First,PO-200193,20-04-16,EUR
16430058/Los Angeles,Los Angeles,16430058,29-07-16,300,300,857.99997,Office First,PO-200243,26-07-16,EUR
16430058/Los Angeles,Los Angeles,16430058,1/1/2001,52,0,148.7199948,Office First,PO-200271,24-08-16,EUR
11780124/Los Angeles,Los Angeles,11780124,22-06-16,500,500,1759.99999,SuperSupply,PO-200193,20-04-16,EUR
11780124/Los Angeles,Los Angeles,11780124,1/1/2001,178,0,626.5599964,SuperSupply,PO-200257,4/8/2016,EUR
10255812/Los Angeles,Los Angeles,10255812,22-06-16,200,200,200,RRD,PO-200193,20-04-16,GBP
10255812/Los Angeles,Los Angeles,10255812,29-07-16,300,300,300,RRD,PO-200243,26-07-16,GBP
10255812/Los Angeles,Los Angeles,10255812,1/1/2001,65,0,65,RRD,PO-200271,24-08-16,GBP
16187687/Los Angeles,Los Angeles,16187687,4/10/2016,40,0,558.800012,Logipro,PO-200244,26-07-16,GBP
16187687/Los Angeles,Los Angeles,16187687,1/1/2001,18,0,251.4600054,Logipro,PO-200292,4/10/2016,GBP
11045096/Los Angeles,Los Angeles,11045096,1/1/2001,20,0,738.399964,Logipro,PO-200277,31-08-16,GBP
13985896/Los Angeles,Los Angeles,13985896,1/1/2001,32,0,1457.920045,Drecom,PO-200277,31-08-16,GBP
14901389/Los Angeles,Los Angeles,14901389,29-07-16,14,14,437.219993,Logipro,PO-200243,26-07-16,USD
16363786/Los Angeles,Los Angeles,16363786,4/10/2016,20,0,467.999992,Drecom,PO-200244,26-07-16,USD
16363786/Los Angeles,Los Angeles,16363786,1/1/2001,1,0,23.3999996,Drecom,PO-200257,4/8/2016,USD
16018733/Los Angeles,Los Angeles,16018733,1/1/2001,20,0,407.200012,RRD,PO-EE-BO-Atlanta,30-10-15,USD
16018733/Los Angeles,Los Angeles,16018733,21-06-16,12,12,244.3200072,RRD,PO-200069,25-11-15,USD
16018733/Los Angeles,Los Angeles,16018733,1/1/2001,24,0,488.6400144,RRD,PO-200277,31-08-16,USD
14099484/Los Angeles,Los Angeles,14099484,21-06-16,10,10,317.399998,Drecom,PO-200069,25-11-15,GBP
14099484/Los Angeles,Los Angeles,14099484,20-06-16,20,20,634.799996,Drecom,PO-200081,10/12/2015,GBP
14099484/Los Angeles,Los Angeles,14099484,1/1/2001,26,0,825.2399948,Drecom,PO-200267,18-08-16,GBP
16277400/Los Angeles,Los Angeles,16277400,1/1/2001,40,0,901.600036,SuperSupply,PO-200267,18-08-16,USD
12451991/Los Angeles,Los Angeles,12451991,1/1/2001,40,0,901.600036,RRD,PO-200267,18-08-16,GBP
13060917/Los Angeles,Los Angeles,13060917,14-06-16,12,12,419.0399784,RRD,PO-200099,7/1/2016,EUR
13060917/Los Angeles,Los Angeles,13060917,1/1/2001,20,0,698.399964,RRD,PO-200267,18-08-16,EUR
14411646/Los Angeles,Los Angeles,14411646,1/1/2001,20,0,369.399986,Drecom,PO-200267,18-08-16,USD
16188573/Los Angeles,Los Angeles,16188573,1/1/2001,20,0,369.399986,FHL,PO-200267,18-08-16,GBP
15641711/New-York,New-York,15641711,12/4/2016,800,800,2639.99996,FHL,PO-200121,25-01-16,USD
15641711/New-York,New-York,15641711,1/1/2001,100,0,329.999995,FHL,PO-200123,26-01-16,USD
16075571/New-York,New-York,16075571,22-06-16,200,200,600,Logipro,PO-200131,9/2/2016,GBP
16075571/New-York,New-York,16075571,1/8/2016,2400,2300,7200,Logipro,PO-200240,19-07-16,GBP
16075571/New-York,New-York,16075571,5/8/2016,2100,2100,6300,Logipro,PO-200246,28-07-16,GBP
14759689/New-York,New-York,14759689,8/2/2016,4000,4000,13079.99992,Drecom,PO-200101,12/1/2016,GBP
14095459/New-York,New-York,14095459,28-10-15,3,3,139.6499976,Drecom,PO-200031,13-10-15,USD
14095459/New-York,New-York,14095459,18-01-16,200,200,9309.99984,Drecom,PO-200088,17-12-15,USD
14095459/New-York,New-York,14095459,29-08-16,100,100,4654.99992,Drecom,PO-200178,4/4/2016,USD
13908259/New-York,New-York,13908259,18-01-16,300,300,10200,Drecom,PO-200088,17-12-15,EUR
15586718/New-York,New-York,15586718,18-01-16,14,14,798,Drecom,PO-200088,17-12-15,GBP
15586718/New-York,New-York,15586718,1/4/2016,110,110,6270,Drecom,PO-200118,21-01-16,GBP
15586718/New-York,New-York,15586718,25-07-16,200,200,11400,Drecom,PO-200164,18-03-16,GBP
15586718/New-York,New-York,15586718,1/1/2001,200,0,11400,Drecom,PO-200284,20-09-16,GBP
15586718/New-York,New-York,15586718,1/1/2001,100,0,5700,Drecom,PO-200301,26-10-16,GBP
10095232/New-York,New-York,10095232,5/8/2015,150,150,4002.000045,Office First,102197,27-05-15,EUR
10095232/New-York,New-York,10095232,15-01-16,200,200,5336.00006,Office First,PO-200048,5/11/2015,EUR
10095232/New-York,New-York,10095232,9/2/2016,400,400,10672.00012,Office First,PO-200072,3/12/2015,EUR
10095232/New-York,New-York,10095232,10/2/2016,400,400,10672.00012,Office First,PO-200080,10/12/2015,EUR
10095232/New-York,New-York,10095232,18-02-16,300,300,8004.00009,Office First,PO-200083,15-12-15,EUR
10095232/New-York,New-York,10095232,20-05-16,200,200,5336.00006,Office First,PO-200096,4/1/2016,EUR
11481389/New-York,New-York,11481389,18-11-15,60,60,794.399988,SuperSupply,PO-200025,24-09-15,GBP
11481389/New-York,New-York,11481389,22-12-15,59,59,781.1599882,SuperSupply,PO-200082,14-12-15,GBP
11481389/New-York,New-York,11481389,5/4/2016,30,30,397.199994,SuperSupply,PO-200112,20-01-16,GBP
10422793/New-York,New-York,10422793,18-11-15,60,60,794.399988,RRD,PO-200025,24-09-15,USD
10422793/New-York,New-York,10422793,22-12-15,59,59,781.1599882,RRD,PO-200082,14-12-15,USD
10422793/New-York,New-York,10422793,22-12-15,30,30,397.199994,RRD,PO-200089,18-12-15,USD
10422793/New-York,New-York,10422793,5/4/2016,30,30,397.199994,RRD,PO-200112,20-01-16,USD
15431986/New-York,New-York,15431986,29-10-15,42,42,509.4600042,Logipro,PO-200022,11/9/2015,GBP
15431986/New-York,New-York,15431986,31-12-15,30,30,363.900003,Logipro,PO-200034,22-10-15,GBP
15431986/New-York,New-York,15431986,12/4/2016,12,12,145.5600012,Logipro,PO-200113,20-01-16,GBP
15431986/New-York,New-York,15431986,26-05-16,24,24,291.1200024,Logipro,PO-200174,29-03-16,GBP
15431986/New-York,New-York,15431986,11/8/2016,42,42,509.4600042,Logipro,PO-200230,21-06-16,GBP
15431986/New-York,New-York,15431986,1/1/2001,30,0,363.900003,Logipro,PO-200293,4/10/2016,GBP
15431986/New-York,New-York,15431986,1/1/2001,42,0,509.4600042,Logipro,PO-200302,26-10-16,GBP
12768029/New-York,New-York,12768029,30-10-15,4,4,72.8000032,FHL,PO-200019,9/9/2015,USD
12768029/New-York,New-York,12768029,29-10-15,20,20,364.000016,FHL,PO-200022,11/9/2015,USD
12768029/New-York,New-York,12768029,31-12-15,24,24,436.8000192,FHL,PO-200034,22-10-15,USD
12768029/New-York,New-York,12768029,12/4/2016,32,32,582.4000256,FHL,PO-200104,12/1/2016,USD
12768029/New-York,New-York,12768029,5/8/2016,1,1,18.2000008,FHL,PO-200246,28-07-16,USD
12768029/New-York,New-York,12768029,1/1/2001,24,0,436.8000192,FHL,PO-200293,4/10/2016,USD
14523293/New-York,New-York,14523293,26-10-15,24,24,461.7599952,Drecom,PO-200017,31-08-15,USD
14523293/New-York,New-York,14523293,5/4/2016,24,24,461.7599952,Drecom,PO-200112,20-01-16,USD
14523293/New-York,New-York,14523293,25-04-16,12,12,230.8799976,Drecom,PO-200138,15-02-16,USD
14523293/New-York,New-York,14523293,26-07-16,40,40,769.599992,Drecom,PO-200204,12/5/2016,USD
15343952/New-York,New-York,15343952,27-01-16,150,150,3429.00009,Logipro,PO-200032,20-10-15,GBP
15343952/New-York,New-York,15343952,19-05-16,150,150,3429.00009,Logipro,PO-200140,16-02-16,GBP
15343952/New-York,New-York,15343952,1/1/2001,160,0,3657.600096,Logipro,PO-200253,4/8/2016,GBP
11788268/New-York,New-York,11788268,9/10/2015,12,12,763.800018,SuperSupply,PO-200015,25-08-15,USD
11788268/New-York,New-York,11788268,17-06-16,10,10,636.500015,SuperSupply,PO-200191,19-04-16,USD
11788268/New-York,New-York,11788268,1/1/2001,20,0,1273.00003,SuperSupply,PO-200278,8/9/2016,USD
10210677/New-York,New-York,10210677,9/10/2015,10,10,636.500015,Drecom,PO-200015,25-08-15,USD
10210677/New-York,New-York,10210677,17-06-16,10,10,636.500015,Drecom,PO-200191,19-04-16,USD
10210677/New-York,New-York,10210677,1/1/2001,20,0,1273.00003,Drecom,PO-200278,8/9/2016,USD
14693335/New-York,New-York,14693335,5/10/2015,12,12,422.5199892,Drecom,PO-200006,3/8/2015,USD
14693335/New-York,New-York,14693335,29-10-15,20,20,704.199982,Drecom,PO-200022,11/9/2015,USD
14693335/New-York,New-York,14693335,31-12-15,24,24,845.0399784,Drecom,PO-200034,22-10-15,USD
14693335/New-York,New-York,14693335,15-01-16,20,20,704.199982,Drecom,PO-200048,5/11/2015,USD
14693335/New-York,New-York,14693335,21-06-16,32,32,1126.719971,Drecom,PO-200196,25-04-16,USD
14693335/New-York,New-York,14693335,11/8/2016,48,48,1690.079957,Drecom,PO-200229,17-06-16,USD
14693335/New-York,New-York,14693335,28-10-16,12,0,422.5199892,Drecom,PO-200248,29-07-16,USD
14693335/New-York,New-York,14693335,1/1/2001,12,0,422.5199892,Drecom,PO-200293,4/10/2016,USD
14693335/New-York,New-York,14693335,1/1/2001,60,0,2112.599946,Drecom,PO-200296,17-10-16,USD
11711636/New-York,New-York,11711636,5/10/2015,24,24,597.8399952,RRD,PO-200010,5/8/2015,USD
11711636/New-York,New-York,11711636,9/10/2015,24,24,597.8399952,RRD,PO-200015,25-08-15,USD
11711636/New-York,New-York,11711636,26-10-15,40,40,996.399992,RRD,PO-200018,1/9/2015,USD
11711636/New-York,New-York,11711636,30-10-15,10,10,249.099998,RRD,PO-200019,9/9/2015,USD
11711636/New-York,New-York,11711636,11/11/2015,24,24,597.8399952,RRD,PO-200024,22-09-15,USD
11711636/New-York,New-York,11711636,18-11-15,12,12,298.9199976,RRD,PO-200025,24-09-15,USD
11711636/New-York,New-York,11711636,31-12-15,50,50,1245.49999,RRD,PO-200034,22-10-15,USD
11711636/New-York,New-York,11711636,1/1/2001,50,0,1245.49999,RRD,PO-EE-BO-Scranton,30-10-15,USD
11711636/New-York,New-York,11711636,15-01-16,30,30,747.299994,RRD,PO-200048,5/11/2015,USD
11711636/New-York,New-York,11711636,21-06-16,16,16,398.5599968,RRD,PO-200196,25-04-16,USD
11711636/New-York,New-York,11711636,23-06-16,72,72,1793.519986,RRD,PO-200198,26-04-16,USD
11711636/New-York,New-York,11711636,29-08-16,24,24,597.8399952,RRD,PO-200232,30-06-16,USD
11711636/New-York,New-York,11711636,7/10/2016,80,0,1992.799984,RRD,PO-200261,11/8/2016,USD
11941800/New-York,New-York,11941800,5/10/2015,24,24,597.8399952,Drecom,PO-200010,5/8/2015,GBP
11941800/New-York,New-York,11941800,9/10/2015,24,24,597.8399952,Drecom,PO-200015,25-08-15,GBP
11941800/New-York,New-York,11941800,26-10-15,40,40,996.399992,Drecom,PO-200018,1/9/2015,GBP
11941800/New-York,New-York,11941800,30-10-15,30,30,747.299994,Drecom,PO-200019,9/9/2015,GBP
11941800/New-York,New-York,11941800,11/11/2015,24,24,597.8399952,Drecom,PO-200024,22-09-15,GBP
11941800/New-York,New-York,11941800,18-11-15,12,12,298.9199976,Drecom,PO-200025,24-09-15,GBP
11941800/New-York,New-York,11941800,31-12-15,50,50,1245.49999,Drecom,PO-200034,22-10-15,GBP
11941800/New-York,New-York,11941800,1/1/2001,50,0,1245.49999,Drecom,PO-EE-BO-Scranton,30-10-15,GBP
11941800/New-York,New-York,11941800,15-01-16,30,30,747.299994,Drecom,PO-200048,5/11/2015,GBP
11941800/New-York,New-York,11941800,21-06-16,16,16,398.5599968,Drecom,PO-200196,25-04-16,GBP
11941800/New-York,New-York,11941800,23-06-16,72,72,1793.519986,Drecom,PO-200198,26-04-16,GBP
11941800/New-York,New-York,11941800,29-08-16,24,24,597.8399952,Drecom,PO-200232,30-06-16,GBP
11941800/New-York,New-York,11941800,7/10/2016,80,0,1992.799984,Drecom,PO-200261,11/8/2016,GBP
11711100/New-York,New-York,11711100,31-12-15,36,36,502.9200108,Office First,PO-200034,22-10-15,USD
11711100/New-York,New-York,11711100,12/4/2016,36,36,502.9200108,Office First,PO-200113,20-01-16,USD
11711100/New-York,New-York,11711100,11/8/2016,60,60,838.200018,Office First,PO-200230,21-06-16,USD
11711100/New-York,New-York,11711100,1/1/2001,24,0,335.2800072,Office First,PO-200278,8/9/2016,USD
11711100/New-York,New-York,11711100,1/1/2001,24,0,335.2800072,Office First,PO-200280,14-09-16,USD
10595489/New-York,New-York,10595489,5/8/2015,18,18,681.1200036,SuperSupply,102197,27-05-15,EUR
10595489/New-York,New-York,10595489,5/10/2015,70,70,2648.800014,SuperSupply,PO-200011,12/8/2015,EUR
10595489/New-York,New-York,10595489,18-11-15,30,30,1135.200006,SuperSupply,PO-200025,24-09-15,EUR
10595489/New-York,New-York,10595489,12/2/2016,22,22,832.4800044,SuperSupply,PO-200087,17-12-15,EUR
10595489/New-York,New-York,10595489,5/4/2016,26,26,983.8400052,SuperSupply,PO-200112,20-01-16,EUR
10595489/New-York,New-York,10595489,12/4/2016,14,14,529.7600028,SuperSupply,PO-200126,28-01-16,EUR
10595489/New-York,New-York,10595489,17-06-16,34,34,1286.560007,SuperSupply,PO-200191,19-04-16,EUR
10595489/New-York,New-York,10595489,23-06-16,60,60,2270.400012,SuperSupply,PO-200198,26-04-16,EUR
10595489/New-York,New-York,10595489,11/8/2016,60,60,2270.400012,SuperSupply,PO-200229,17-06-16,EUR
10595489/New-York,New-York,10595489,1/1/2001,14,0,529.7600028,SuperSupply,PO-200280,14-09-16,EUR
10678449/New-York,New-York,10678449,5/10/2015,10,10,330.600014,SuperSupply,PO-200013,18-08-15,USD
10678449/New-York,New-York,10678449,18-11-15,20,20,661.200028,SuperSupply,PO-200025,24-09-15,USD
10678449/New-York,New-York,10678449,1/1/2001,60,0,1983.600084,SuperSupply,PO-EE-BO-Scranton,30-10-15,USD
10678449/New-York,New-York,10678449,12/4/2016,40,40,1322.400056,SuperSupply,PO-200113,20-01-16,USD
10678449/New-York,New-York,10678449,1/1/2001,40,0,1322.400056,SuperSupply,PO-200297,19-10-16,USD
